Model,Manufacturer,Firebox Volume,Emission Rate (grams/hr),Heat Ouput Range (BTUs),Heat Output Upper (BTUs),Heat Output Lower (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
"RSF 3600B Series: Pearl 3600B, Perle 3600B, Focus 3600B, Focus 3600Bi","RSF / Industrial Chimney Company, Incorporated",1.6,1.7,25406-11757,25406,11757,70,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.3,Yes
Deerfield II,"Travis Industries, Inc",Not Applicable,1.5,37118-15666,37118,15666,80,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.128,Yes
Fireview Soapstone Stove 205b,"Woodstock Soapstone Company, Inc.",1.85,1.6,56499-10590,56499,10590,77,Wood Stove,Catalytic Stove,Crib Wood,,0.9,Yes
"5660, AP5660E, US5660, VG5660, SP566, 5660-W, AP5660-W, US5660-W, VG5660-W,
5660-KIT, AP5660-KIT, US5660-KIT, VG5660-KIT,  CGPS1525",United States Stove Company,Not Applicable,1.7,29876-10100,29876,10100,75,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.16,Yes
"Montecito-C Series: Montecito-C, WCT6920WSS, Bainbridge-B, WCT4920WSS",Innovative Hearth Products,2.19,1.5,81385-14463,81385,14463,61,Wood Stove,Non-Catalytic Stove,Cord Wood,,0.8,Yes
"Nova 2C, Nova 2C Tower",MF Fire,2.33,1.4,21009-19012,21009,19012,78,Wood Stove,Catalytic Stove,Cord Wood,,0.515,Yes
Vermont Castings by Forge and Flame Dauntless-C,Hearth and Home Technologies,1.82,1.7,21356-13560,21356,13560,75,Wood Stove,Catalytic Stove,Crib Wood,,1,Yes
Progress Hybrid 209b,"Woodstock Soapstone Company, Inc.",2.8,0.46,35222-15257,35222,15257,80,Wood Stove,Hybrid,Crib Wood,,0.07,Yes
"1410B, 1440B, 1450B",Morso Jernstoberi A/S,0.74,1.8,24733-13250,24733,13250,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.95,Yes
"2.3 Series (Archway 2300, FW2900, Gateway 2300, Green Mountain Insert 70, Escape 
1800, Inspire 2000, Inspire 2000-I, Matrix, Escape 1800-I, Osburn 2000, Osburn 2000-I, 
Harmony 2.3, Solution 2.3, Solution 2.3-I, CW2900, Destination 2.3-I, Matrix-I, HES240, 
HEI240, Heritage, Deco Alto, Harmony 2.3-I, Blue Ridge 300P, Blue Ridge 300L, and Blue 
Ridge 300-I)","Stove Builder International, Inc.",1.95,2.3,44500-14200,44500,14200,72,Wood Stove,Non-Catalytic Stove,Cord Wood,,1.1,Yes
"20.2 Series: Ashford 20.2 (AF20.2), 
Chinook 20.2 (CK20.2), Sirocco 20.2 (SC20.2)","Blaze King Industries, Inc.",1.86,1.05,31092-10786,31092,10786,80,Wood Stove,Catalytic Stove,Crib Wood,,0.57,Yes
"212N Navajo Hybrid Wood-Coal, 212S Survival Hybrid Wood-Coal","Woodstock Soapstone Company, Inc.",1.15,1,27294-15332,27294,15332,79,Wood Stove,Hybrid,Crib Wood,,0.15,Yes
21NC,New Buck Corporation (Buck Stove Corp.),1.4,1.7,28901-11079,28901,11079,70,Wood Stove,Non-Catalytic Stove,Crib Wood,,6.1,Yes
"25 Series: Sirocco 25 (SC25) Insert, Ashford 25 (AF25) Insert, Boxer 24 (BX24) Freestanding","Blaze King Industries, Inc.",2.08,0.74,24085-8038,24085,8038,79,Wood Stove,Catalytic Stove,Crib Wood,,0.21,Yes
"25-CBPAH, 55-SHPCBPAH, 55-TRPCBPAH ","Stove Builder International, Inc.",Not Applicable,1.5,25123-11099,25123,11099,68,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.002,Yes
"25CAB80, 55-SHPCAB80, 55-TRPCAB80, 25-CAB80S, 55-SHPCAB80S, 55-RPCAB80S","Stove Builder International, Inc.",Not Applicable,1.13,20959-11641,20959,11641,64,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.03,Yes
